,Age,City,Current Status,Do you own multiple profiles on Instagram?,Gender,Highest Education,Location (City Airport Code),Phone OS,State,Zone,Latitude,Longitude,Total Facebook Usage,Total Instagram Usage,Total Social Media Usage,Total Week Usage,Total Weekend Usage,Total WhatsApp Usage,Followers,No of posts on Insta,Facebook Time Spent(Last Week),Instagram Time Spent(Last Week),WhatsApp Time Spent(Last Week),WhatsApp Time Spent(Last Weekend),Instagram Time Spent(Last Weekend),Facebook Time Spent(Last Weekend)
0,24,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,0,0,0,0,520,0,456,20,0,770,900,120,400,0
1,39,Delhi,Working professional,No,Female,Post graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,22,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,0,0,0,0,0,0,400,6,500,0,0,0,0,0
3,26,Bengaluru,Sabbatical,Yes,Female,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,0,0,0,0,0,0,485,16,0,0,0,0,0,0
4,50,Delhi,Working professional,No,Male,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25,Vishakhapatnam,Working professional,Yes,Female,Post graduation,VTZ,Android,Andhra Pradesh,Southern,17.704052,83.297663,0,0,0,0,0,0,790,220,0,0,0,600,840,0
6,52,Jaipur,Working professional,No,Male,Post graduation,JAI,Android,Rajasthan,Northern,26.913312,75.787872,0,215,0,0,0,0,0,0,300,0,0,0,215,900
8,25,Bengaluru,Student,No,Male,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,0,0,0,0,0,0,0,340,0,0,0,450,340,870
9,27,Delhi,Student,Yes,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,0,0,0,0,0,0,594,37,480,720,0,600,300,840
10,27,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,0,0,0,0,0,0,27,0,600,0,0,360,0,840
11,45,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,0,0,0,0,0,0,0,0,500,0,0,600,700,800
12,22,Delhi,Sabbatical,Yes,Male,Post graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,0,0,0,0,0,0,89,56,0,0,0,500,700,800
13,21,Delhi,Working professional,No,Female,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,0,780,0,0,0,0,514,38,420,180,600,720,600,780
15,26,Delhi,Working professional,No,Female,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,0,630,0,0,0,0,762,54,300,270,750,600,360,720
16,25,Ahmedabad,Student,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,760,0,0,960,0,660,447,82,60,300,600,60,0,700
17,18,Jaipur,Student,No,Male,High School,JAI,iOs,Rajasthan,Northern,26.913312,75.787872,0,0,0,0,0,0,361,69,588,700,0,233,365,681
18,25,Mumbai,Sabbatical,No,Female,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,0,0,0,0,0,0,210,98,992,0,0,560,445,663
20,22,Kolkata,Student,No,Female,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,0,0,0,0,0,0,487,42,600,0,0,0,0,600
21,26,Kolkata,Student,No,Female,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,0,0,0,0,0,0,487,42,600,0,0,0,0,600
22,25,Ahmedabad,Sabbatical,Yes,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,840,0,0,0,0,0,460,210,240,720,300,720,900,600
23,35,Delhi,Working professional,Yes,Female,High School,DEL,Android,Delhi,Northern,28.651952,77.231495,0,0,0,0,0,820,65,67,500,800,700,120,500,600
24,23,Delhi,Student,No,Female,High School,DEL,Android,Delhi,Northern,28.651952,77.231495,0,670,0,0,730,760,78,1,500,600,700,60,70,600
25,50,Kolkata,Working professional,No,Female,High School,CCU,Android,West Bengal,Eastern,22.562627,88.363044,0,612,0,0,0,0,678,129,963,456,785,356,156,587
26,17,Mumbai,Student,Yes,Male,High School,BOM,Android,Maharashtra,Western,18.987807,72.836447,0,0,0,0,0,0,579,75,564,0,0,0,0,560
27,23,Kolkata,Student,Yes,Female,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,900,0,0,0,0,0,0,89,400,0,0,0,0,500
28,22,Ahmedabad,Student,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,0,0,0,0,0,0,249,38,0,0,0,500,300,500
29,32,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,0,420,0,0,800,780,962,74,500,300,600,180,120,500
31,27,Chennai,Working professional,No,Male,Post graduation,MAA,Android,Tamil Nadu,Southern,13.084622,80.248357,0,0,0,0,0,0,542,69,600,0,0,720,840,480
32,23,Chennai,Student,No,Female,Graduation,MAA,Android,Tamil Nadu,Southern,13.084622,80.248357,0,0,0,0,0,960,244,12,0,0,600,360,720,480
33,22,Chennai,Student,Yes,Female,Graduation,MAA,iOs,Tamil Nadu,Southern,13.084622,80.248357,780,0,0,0,0,0,342,27,300,600,600,480,600,480
35,32,Bengaluru,Working professional,No,Female,Post graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,780,960,0,0,0,0,453,38,300,600,0,840,360,480
36,24,Pune,Working professional,No,Female,Graduation,PNQ,Android,Maharashtra,Western,18.513271,73.849852,0,0,0,0,840,0,0,0,0,0,980,360,0,480
37,21,Chennai,Student,No,Female,Graduation,MAA,Android,Tamil Nadu,Southern,13.084622,80.248357,770,0,0,0,0,0,0,274,301,782,0,871,723,469
39,25,Kolkata,Working professional,No,Male,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,0,841,0,0,0,0,614,160,823,539,0,396,302,419
40,45,Bagdogra,Working professional,Yes,Female,Graduation,IXB,iOs,West Bengal,Eastern,26.6986,88.3117,660,0,0,0,0,858,715,243,247,561,427,431,562,413
41,38,Bengaluru,Working professional,No,Female,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,0,0,0,0,0,0,126,258,0,800,900,200,500,400
42,27,Hyderabad,Sabbatical,No,Male,Graduation,HYD,Android,Telangana,Southern,17.384052,78.456355,700,550,0,0,0,0,250,26,300,250,800,400,300,400
43,25,Kolkata,Student,No,Male,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,0,150,0,0,550,720,272,8,900,120,600,120,30,400
45,25,Bengaluru,Working professional,No,Female,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,0,0,0,0,600,0,0,0,0,0,800,200,0,400
46,45,Kolkata,Working professional,No,Female,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,0,0,0,0,810,0,5,0,855,0,735,412,0,398
47,28,Kolkata,Sabbatical,No,Female,Graduation,ccu,iOs,West Bengal,Eastern,22.562627,88.363044,690,790,0,0,890,0,239,11,300,390,0,100,400,390
48,24,Kolkata,Student,Yes,Male,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,0,0,0,0,0,0,746,156,823,821,0,479,390,372
49,21,Chennai,Student,Yes,Female,Graduation,MAA,iOs,Tamil Nadu,Southern,13.084622,80.248357,960,0,0,0,0,0,0,394,600,0,0,600,720,360
50,35,Chennai,Working professional,Yes,Male,Post graduation,MAA,iOs,Tamil Nadu,Southern,13.084622,80.248357,0,0,0,0,0,0,307,40,900,0,0,480,720,360
51,21,Mumbai,Sabbatical,Yes,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,820,0,0,0,0,0,0,245,460,0,940,390,640,360
52,16,Kolkata,Student,No,Male,High School,CCU,Android,West Bengal,Eastern,22.562627,88.363044,0,880,0,0,720,0,289,23,0,760,0,240,120,360
53,51,Ahmedabad,Working professional,No,Male,Post graduation,AMD,iOs,Gujarat,Western,23.025793,72.587265,810,0,0,0,0,0,45,2,450,0,0,845,0,360
54,30,Kolkata,Working professional,Yes,Male,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,840,240,0,840,360,120,219,0,480,240,120,0,0,360
55,55,Bagdogra,Working professional,No,Male,Post graduation,IXB,Android,West Bengal,Eastern,26.6986,88.3117,0,0,0,0,548,382,0,0,0,0,193,189,0,359
56,31,Delhi,Sabbatical,No,Female,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,0,226,0,0,588,738,600,29,0,174,560,178,52,358
57,23,Kolkata,Student,No,Female,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,496,970,0,0,0,0,325,28,140,392,752,678,578,356
58,22,Mumbai,Sabbatical,No,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,700,0,0,0,0,0,320,222,350,0,860,287,465,350
59,37,Lucknow,Sabbatical,No,Female,Post graduation,LKO,Android,Uttar Pradesh,Northern,26.839281,80.923133,0,145,0,0,685,0,104,2,890,105,855,295,40,350
60,57,Delhi,Sabbatical,Yes,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,0,0,0,0,0,0,0,287,875,0,0,765,538,347
61,52,Delhi,Working professional,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,0,0,0,0,0,0,0,0,734,0,0,803,0,346
62,27,Kolkata,Student,No,Male,Post graduation,CCU,iOs,West Bengal,Eastern,22.562627,88.363044,0,0,0,0,0,0,698,109,667,621,788,359,421,338
63,24,Mumbai,Student,No,Male,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,749,0,0,0,0,0,276,49,423,0,0,828,243,326
64,35,Delhi,Working professional,No,Male,Post graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,881,0,0,0,0,0,524,148,558,728,0,872,665,323
65,25,Baroda,Working professional,No,Female,Post graduation,BDQ,iOs,Gujarat,Western,22.3072,73.1812,736,512,0,0,677,911,816,500,422,415,645,266,97,314
66,29,Mumbai,Sabbatical,No,Female,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,845,0,0,0,559,766,0,0,532,0,520,246,0,313
67,27,Baroda,Working professional,No,Male,Graduation,BDQ,Android,Gujarat,Western,22.3072,73.1812,910,506,0,0,810,937,465,351,598,356,589,348,150,312
68,28,Delhi,Working professional,No,Male,Post graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,710,770,0,0,960,750,133,22,400,450,420,330,320,310
69,38,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,730,0,0,760,430,460,10,1,420,0,340,120,0,310
70,22,Delhi,Student,No,Female,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,600,0,0,0,0,0,0,159,300,0,0,0,0,300
71,22,Mumbai,Student,No,Male,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,600,0,0,0,0,0,236,89,300,0,0,0,0,300
72,35,Mumbai,Working professional,Yes,Female,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,600,0,0,0,0,0,0,106,300,900,0,0,900,300
73,16,Jaipur,Student,No,Female,High School,JAI,Android,Rajasthan,Northern,26.913312,75.787872,600,0,0,0,0,0,853,146,300,0,0,900,900,300
74,15,Chennai,Student,Yes,Female,High School,MAA,iOs,Tamil Nadu,Southern,13.084622,80.248357,600,0,0,0,0,0,674,65,300,0,0,0,800,300
75,27,Vishakhapatnam,Sabbatical,No,Female,Post graduation,VTZ,Android,Andhra Pradesh,Southern,17.704052,83.297663,540,0,0,0,0,0,680,72,240,0,0,295,600,300
76,26,Ahmedabad,Working professional,No,Male,Graduation,AMD,iOs,Gujarat,Western,23.025793,72.587265,0,0,0,0,0,0,0,631,700,0,0,800,500,300
77,21,Mumbai,Student,No,Female,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,800,0,0,0,900,520,0,69,500,0,420,100,500,300
78,23,Kolkata,Working professional,No,Male,Post graduation,CCU,iOs,West Bengal,Eastern,22.562627,88.363044,700,950,0,0,0,0,300,30,400,500,0,560,450,300
79,22,Mumbai,Student,No,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,0,0,0,0,950,800,478,53,0,0,600,200,450,300
80,25,Vishakhapatnam,Sabbatical,Yes,Female,Post graduation,VTZ,iOs,Andhra Pradesh,Southern,17.704052,83.297663,0,0,0,0,810,450,0,100,900,0,360,90,420,300
81,25,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,600,900,0,0,0,0,654,52,300,600,0,900,300,300
82,23,Mumbai,Working professional,No,Male,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,0,900,0,0,0,0,0,97,0,600,0,500,300,300
83,24,Jaipur,Working professional,No,Female,Graduation,JAI,Android,Rajasthan,Northern,26.913312,75.787872,600,0,0,0,900,0,540,12,300,900,900,300,300,300
84,20,Hyderabad,Student,Yes,Male,High School,Hyd,Android,Telangana,Southern,17.384052,78.456355,0,0,0,0,840,660,405,20,900,840,420,240,300,300
85,26,Nagpur,Working professional,No,Male,Graduation,NAG,iOs,MAHARASHTRA,Western,21.1458004,79.0881546,500,670,0,0,620,460,132,8,200,450,360,100,220,300
86,36,Delhi,Sabbatical,No,Male,Post graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,450,450,0,0,0,0,85,7,150,250,0,700,200,300
87,24,Delhi,Working professional,Yes,Female,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,720,720,0,0,0,0,250,76,420,600,240,900,120,300
88,22,Ahmedabad,Student,Yes,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,900,300,0,0,0,0,64,3,600,200,0,700,100,300
89,55,Delhi,Sabbatical,No,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,800,120,0,880,540,500,70,1,500,80,300,200,40,300
90,24,Kolkata,Student,No,Male,Graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,850,60,0,0,415,975,161,22,550,50,870,105,10,300
91,55,Ranchi,Working professional,No,Female,Post graduation,IXR,iOs,Jharkhand,Eastern,23.347768,85.338564,825,25,0,845,655,650,35,0,525,20,300,350,5,300
92,34,Kolkata,Working professional,No,Male,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,0,0,0,0,900,0,0,0,0,0,0,600,0,300
93,32,Pune,Working professional,No,Female,Graduation,PNQ,Android,Maharashtra,Western,18.513271,73.849852,800,0,0,0,600,950,0,0,500,0,650,300,0,300
95,26,Delhi,Working professional,No,Male,Post graduation,DEL,iOs,Delhi,Northern,28.651952,77.231495,765,217,0,0,496,522,349,667,484,137,387,135,80,281
96,16,Mumbai,Student,No,Male,High School,BOM,iOs,Maharashtra,Western,18.987807,72.836447,0,0,0,0,858,665,331,116,970,0,570,95,484,279
97,22,Baroda,Working professional,No,Male,Graduation,BDQ,Android,Gujarat,Western,22.3072,73.1812,738,578,0,0,688,0,183,150,459,517,854,348,61,279
98,24,Mumbai,Working professional,No,Female,Graduation,BOM,iOs,Maharashtra,Western,18.987807,72.836447,645,0,0,0,0,0,0,259,367,0,498,578,215,278
99,25,Baroda,Working professional,No,Male,Post graduation,BDQ,Android,Gujarat,Western,22.3072,73.1812,633,583,0,0,679,0,508,25,355,368,815,186,215,278
100,48,Bagdogra,Sabbatical,No,Female,Graduation,IXB,Android,West Bengal,Eastern,26.6986,88.3117,703,0,0,756,413,466,0,0,427,0,329,137,0,276
101,30,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,806,0,0,0,593,988,0,0,538,0,663,325,0,268
102,23,Hyderabad,Student,No,Male,Graduation,HYD,iOs,Telangana,Southern,17.384052,78.456355,908,0,0,0,710,546,0,82,643,0,430,116,329,265
103,23,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,28.651952,77.231495,0,700,0,0,0,0,453,126,780,500,0,720,200,260
104,29,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,646,0,0,849,498,701,0,0,388,0,461,240,0,258
105,27,Bengaluru,Working professional,No,Female,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,736,680,0,0,874,0,273,98,479,440,675,377,240,257
106,65,Jaipur,Sabbatical,No,Male,High School,JAI,Android,Rajasthan,Northern,26.913312,75.787872,921,0,0,0,457,0,0,0,667,0,985,203,0,254
107,23,Nagpur,Working professional,No,Female,Graduation,NAG,iOs,MAHARASHTRA,Western,21.1458004,79.0881546,750,890,0,0,640,420,297,20,500,650,270,150,240,250
108,50,Mumbai,Sabbatical,No,Female,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,650,140,0,0,530,840,250,16,400,100,600,240,40,250
109,21,Ahmedabad,Student,No,Male,Graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,950,0,0,0,450,0,0,0,700,0,0,200,0,250
110,26,Ahmedabad,Student,No,Female,Post graduation,AMD,Android,Gujarat,Western,23.025793,72.587265,750,0,900,600,300,150,0,0,500,0,100,50,0,250
111,47,DehraDun,Working professional,No,Male,Post graduation,DED,Android,Uttarakhand,Northern,30.324427,78.033922,933,0,0,0,375,665,0,0,684,0,539,126,0,249
112,30,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,571,933,0,0,0,0,175,81,323,447,700,300,486,248
113,20,Patna,Student,No,Female,Graduation,PAT,Android,Bihar,Eastern,25.615379,85.101027,582,0,0,0,0,0,378,57,335,450,0,0,600,247
114,26,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,18.987807,72.836447,655,940,0,0,0,0,0,0,410,580,918,480,360,245
115,34,Lucknow,Working professional,No,Female,Graduation,LKO,Android,Uttar Pradesh,Northern,26.839281,80.923133,824,159,0,0,613,0,166,7,579,125,937,334,34,245
116,26,Kolkata,Student,Yes,Male,Post graduation,CCU,Android,West Bengal,Eastern,22.562627,88.363044,690,0,0,0,0,0,388,55,450,600,0,180,720,240
117,43,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,12.977063,77.587106,0,0,0,0,0,0,325,47,0,832,0,960,600,240
118,31,Chennai,Working professional,No,Male,Post graduation,MAA,Android,Tamil Nadu,Southern,13.084622,80.248357,540,0,0,0,0,0,793,233,300,0,0,600,600,240
119,25,Chandigarh,Working professional,No,Female,Graduation,IXC,Android,Chandigarh,Northern,30.736292,76.788398,780,0,0,0,0,0,374,78,540,900,670,380,590,240
